sym,edate,entry_date,exit_date,score,entry_price,exit_price,strike,pre_iv_%,post_iv_%,entry_put,exit_put,contracts,stock_chg_%,return_%,dollar_pl,breakeven_%,hv30_%,vsurge,r5d,r20d,dist_52h,atr,regime,win
ZS,2024-04-08,2024-04-04,2024-04-09,82,12.87,11.47,12.61,73.6,44.2,0.393,1.139,12,-10.9,190.13,895.77,-4.3,52.6,0.91,12.36,20.97,-1.16,0.53,bull,1
AMZN,2024-04-10,2024-04-08,2024-04-11,72,318.3,285.98,311.94,57.4,34.4,7.018,25.838,1,-10.16,268.16,1881.98,-3.5,41.0,0.94,8.89,30.38,-1.4,10.92,bull,1
PLTR,2024-04-15,2024-04-11,2024-04-16,60,228.99,229.06,224.41,88.0,52.8,8.791,2.974,1,0.03,-66.17,-581.71,-4.9,62.9,1.43,3.93,22.94,-9.66,13.65,bull,0
TEAM,2024-04-22,2024-04-18,2024-04-23,65,185.24,185.59,181.53,67.3,40.4,5.05,1.452,1,0.19,-71.25,-359.84,-4.0,48.0,1.1,3.78,20.14,-2.17,7.52,bull,0
MRVL,2024-04-22,2024-04-18,2024-04-23,73,74.2,71.18,72.72,72.4,43.4,2.228,2.189,2,-4.07,-1.73,-7.7,-4.2,51.7,1.23,14.0,30.92,-20.89,3.44,bull,0
CRM,2024-04-22,2024-04-18,2024-04-23,92,448.5,385.59,439.53,79.0,47.4,15.054,53.748,1,-14.03,257.02,3869.34,-4.5,56.5,1.86,12.7,33.34,-0.82,15.26,bull,1
ADSK,2024-04-22,2024-04-18,2024-04-23,78,16917.33,16057.87,16578.99,45.9,27.5,271.114,545.789,1,-5.08,101.31,27467.46,-3.0,32.8,1.48,10.84,42.7,-1.26,572.72,bull,1
GOOGL,2024-07-19,2024-07-17,2024-07-22,67,276.13,277.87,270.61,44.6,26.7,4.238,0.686,1,0.63,-83.81,-355.16,-2.9,31.8,1.79,2.58,19.11,-2.62,7.0,bear,0
ZS,2024-10-14,2024-10-10,2024-10-15,64,12.69,12.13,12.44,72.2,43.3,0.381,0.406,13,-4.41,6.58,32.63,-4.2,51.6,1.95,-0.94,16.15,-6.58,0.49,bull,1
SHOP,2024-10-21,2024-10-17,2024-10-22,74,15.66,15.03,15.34,95.8,57.5,0.664,0.534,7,-3.99,-19.67,-91.49,-5.3,68.4,1.97,5.27,16.78,-4.93,0.73,bull,0
NOW,2024-10-21,2024-10-17,2024-10-22,72,2116.8,1641.06,2074.47,54.1,32.5,42.997,432.39,1,-22.47,905.62,38939.25,-3.3,38.6,0.92,8.21,16.47,-2.73,76.18,bull,1
OKTA,2024-10-21,2024-10-17,2024-10-22,64,61.82,81.75,60.58,64.2,38.5,1.586,0.0,3,32.24,-100.0,-475.8,-3.8,45.9,1.8,12.1,10.81,-56.1,2.66,bull,0
AMD,2024-10-22,2024-10-18,2024-10-23,60,386.33,404.85,378.61,86.1,51.7,14.431,1.074,1,4.79,-92.56,-1335.72,-4.8,61.5,1.46,3.16,14.18,-5.33,18.17,bull,0
ZS,2025-01-09,2025-01-07,2025-01-10,74,16.76,16.92,16.42,73.0,43.8,0.506,0.115,9,0.98,-77.29,-352.34,-4.2,52.2,1.97,9.16,13.43,-3.83,0.82,bull,0
OKTA,2025-01-10,2025-01-08,2025-01-13,69,115.07,121.8,112.77,66.0,39.6,3.062,0.058,1,5.85,-98.1,-300.4,-3.9,47.2,1.58,3.55,29.12,-1.59,4.86,bull,0
AMD,2025-01-21,2025-01-17,2025-01-22,65,306.85,372.36,300.72,82.3,49.4,10.842,0.0,1,21.35,-100.0,-1084.19,-4.7,58.8,1.03,6.92,19.17,-28.88,14.32,bear,0
ORCL,2025-04-11,2025-04-09,2025-04-14,60,457.55,464.81,448.4,51.0,30.6,8.548,0.93,1,1.59,-89.12,-761.73,-3.2,36.4,1.18,5.89,8.31,-0.74,10.89,bull,0
SHOP,2025-04-14,2025-04-10,2025-04-15,60,14.5,14.6,14.21,89.0,53.4,0.564,0.161,8,0.68,-71.43,-322.13,-5.0,63.6,1.03,5.62,19.72,-20.32,0.79,bull,0
ZS,2025-04-15,2025-04-11,2025-04-16,65,17.26,15.24,16.92,77.4,46.4,0.565,1.677,8,-11.73,196.93,889.53,-4.4,55.3,0.95,3.57,26.57,-5.2,0.78,bull,1
AMD,2025-04-18,2025-04-16,2025-04-21,60,387.07,386.49,379.33,53.5,32.1,7.74,2.274,1,-0.15,-70.62,-546.59,-3.3,38.2,0.96,8.23,8.97,-10.28,13.82,bear,0
TEAM,2025-07-14,2025-07-10,2025-07-15,68,168.3,163.53,164.93,56.0,33.6,3.588,3.026,1,-2.83,-15.67,-56.22,-3.4,40.0,1.49,8.86,8.07,-6.54,5.79,bear,0
PLTR,2025-07-14,2025-07-10,2025-07-15,68,1602.18,1601.71,1570.13,83.7,50.2,57.804,19.556,1,-0.03,-66.17,-3824.8,-4.7,59.8,1.43,13.17,-3.61,-7.89,70.47,bear,0
CRWD,2025-07-17,2025-07-15,2025-07-18,60,149.16,141.89,146.18,75.1,45.1,4.694,5.327,1,-4.87,13.48,63.27,-4.3,53.6,0.9,3.34,12.8,-13.75,6.49,bear,1
SHOP,2025-07-17,2025-07-15,2025-07-18,68,11.0,10.83,10.78,65.7,39.4,0.292,0.15,17,-1.47,-48.77,-242.13,-3.9,46.9,1.34,11.3,12.12,-39.58,0.51,bear,0
DDOG,2025-07-18,2025-07-16,2025-07-21,85,650.13,629.98,637.13,96.7,58.0,28.005,19.012,1,-3.1,-32.11,-899.24,-5.3,69.1,2.16,10.23,17.89,-56.56,40.43,bear,0
AVGO,2025-07-21,2025-07-17,2025-07-22,75,210.07,192.09,205.87,57.5,34.5,4.644,13.761,1,-8.56,196.29,911.64,-3.5,41.1,0.89,5.95,24.6,-0.65,6.99,bear,1
OKTA,2025-07-21,2025-07-17,2025-07-22,68,69.17,80.59,67.79,74.2,44.5,2.145,0.0,2,16.51,-100.0,-429.01,-4.3,53.0,1.44,5.96,30.46,-44.09,2.47,bear,0
MSFT,2025-07-21,2025-07-17,2025-07-22,68,808.12,822.57,791.96,39.7,23.8,10.373,0.535,1,1.79,-94.84,-983.82,-2.7,28.3,1.23,6.41,10.35,-0.72,20.83,bear,0
OKTA,2025-10-13,2025-10-09,2025-10-14,87,112.32,93.29,110.08,76.7,46.0,3.629,16.732,1,-16.94,361.03,1310.26,-4.4,54.8,1.68,13.23,32.43,-9.21,5.25,bear,1
CRWD,2025-10-20,2025-10-16,2025-10-21,67,180.54,162.54,176.93,76.9,46.2,5.857,14.434,1,-9.97,146.43,857.67,-4.4,55.0,1.95,10.96,-1.0,-4.55,8.92,bull,1
GOOGL,2025-10-20,2025-10-16,2025-10-21,77,244.59,211.59,239.7,56.6,33.9,5.286,27.988,1,-13.49,429.48,2270.18,-3.5,40.4,1.88,10.7,17.3,-8.38,7.27,bull,1
ZS,2025-10-21,2025-10-17,2025-10-22,77,9.49,9.78,9.3,71.7,43.0,0.28,0.028,17,3.01,-90.01,-428.02,-4.2,51.2,1.92,11.45,44.09,-47.87,0.36,bull,0
